symbol,returns,risk
AAL,0.234597018,3.347402181
AAPL,0.117695555,1.697128052
ABC,0.098874801,1.248234935
ABT,0.046227911,1.024430955
ADBE,0.074223359,1.878135002
ADI,0.052577043,1.531312607
ADM,0.05108556,1.534426955
ADS,0.132471716,1.65647425
ADSK,0.08836685,2.246609765
AEE,0.037559155,1.13205902
AKAM,0.108491708,2.708488671
ALB,0.062633381,1.942689895
ALK,0.165430933,2.132511476
ALXN,0.188701777,2.130287231
AMAT,0.05642068,1.759823931
AME,0.108572877,1.575934025
AMGN,0.085386019,1.427272165
AMT,0.079395762,1.375434358
AMZN,0.100834371,2.074775423
AN,0.10538531,1.84851797
APA,0.012395457,1.771409134
APC,0.074556059,2.320023766
APD,0.049877192,1.390070258
APH,0.083093823,1.690975959
ARNC,0.021998498,2.103844379
ATVI,0.076781209,1.693976393
AWK,0.075003256,1.131200808
AYI,0.128591133,2.155717869
AZO,0.110953056,1.11805127
BA,0.081715868,1.563769103
BAX,0.029810409,1.28312669
BBBY,0.057549559,1.719206607
BBY,0.017439447,2.692428545
BCR,0.061402594,1.198262468
BDX,0.039254549,1.017048492
BHI,0.067171554,2.146178973
BIIB,0.175922539,1.881644476
BLL,0.083770748,1.229952824
BMY,0.066088841,1.261759278
BSX,0.05004725,2.041073652
BWA,0.132517225,2.065792909
CAG,0.034105937,1.075466503
CAH,0.078999454,1.355231674
CAT,0.068479978,1.753159513
CBG,0.099701288,2.396755132
CCI,0.06878914,1.366467409
CCL,0.030560378,1.801168764
CELG,0.120042604,1.74715659
CF,0.114857518,2.31685137
CHD,0.074266764,1.096597788
CHK,0.030363226,2.373309092
CHRW,0.022971056,1.475926907
CL,0.042902036,0.980043688
CLX,0.036360613,1.01204112
CMG,0.198440095,2.183301919
CMI,0.119328815,2.145234146
CMS,0.061988057,1.066090519
CNP,0.053226882,1.218673383
COG,0.121268523,2.472006192
COL,0.036223901,1.38420545
COST,0.066898406,1.106539792
CPB,0.02910739,1.019258753
CRM,0.12845086,2.473778827
CSCO,0.016776481,1.76511584
CSX,0.068411273,1.654526783
CTAS,0.087499097,1.349671843
CTL,0.019417878,1.377353912
CTSH,0.076767695,1.965115117
CTXS,0.068697186,2.309543101
CVS,0.08290872,1.253588896
CVX,0.049867454,1.246390243
CXO,0.118730743,2.236557917
D,0.055008187,0.97278905
